timestamp,job_portal,experience_level,interview_calls,applications_count,received_offer,recruiter_response_rate,portal_rating,likes,dislikes,data_source
2026/02/06 1:44:47 PM GMT+5:30,Naukri,Fresher(0 - 1 year),5,12,No,Often,3,,,Real
2026/02/06 1:44:58 PM GMT+5:30,Naukri,Fresher(0 - 1 year),10,10,Yes,Sometimes,3,It's simple ,Not always genuine ,Real
2026/02/06 2:17:02 PM GMT+5:30,Other,Fresher(0 - 1 year),2,2,No,Rarely,2,,,Real
2026/02/06 3:27:31 PM GMT+5:30,LinkedIn,Fresher(0 - 1 year),0,0,Yes,Never,3,It's the people and inspiration ,Have to more interactive ,Real
2026/02/06 3:28:40 PM GMT+5:30,Other,Fresher(0 - 1 year),0,3,No,Sometimes,3,,,Real
2026/02/06 3:34:22 PM GMT+5:30,LinkedIn,Fresher(0 - 1 year),1,2,No,Rarely,5,,,Real
2026/02/06 6:51:26 PM GMT+5:30,Naukri,Fresher(0 - 1 year),4,40,Yes,Sometimes,3,More opportunities ,Find correct jobs ,Real
2026/02/06 7:18:58 PM GMT+5:30,LinkedIn,Entry Level (1–3 years),3,3,No,Sometimes,4,Everything ,Nothing ,Real
2026/02/06 7:50:31 PM GMT+5:30,Indeed,Entry Level (1–3 years),10,50,Yes,Often,4,,,Real
2026/02/06 10:24:30 PM GMT+5:30,LinkedIn,Entry Level (1–3 years),10,15,No,Often,4,Very quick response from the companies ,So many fake companies data also include in this platform,Real
2026/02/06 10:42:06 PM GMT+5:30,LinkedIn,Fresher(0 - 1 year),2,8,Yes,Often,4,,,Real
2026/02/07 11:54:20 AM GMT+5:30,LinkedIn,Fresher(0 - 1 year),2,10,Yes,Sometimes,3,The ui,Nothing yet,Real
2026/02/07 1:45:20 PM GMT+5:30,Naukri,Fresher(0 - 1 year),6,20,No,Often,3,,,Real
2026/02/07 1:46:12 PM GMT+5:30,Other,Fresher(0 - 1 year),4,10,Yes,Often,3,,,Real
,Naukri,Mid (1-3),4,30,Yes,Sometimes,1,,,Synthetic
,Other,Fresher (0-1),4,17,Yes,Sometimes,4,,,Synthetic
,LinkedIn,Fresher (0-1),13,62,Yes,Sometimes,5,,,Synthetic
,LinkedIn,Experienced (3+),1,13,Yes,Rarely,1,,,Synthetic
,Naukri,Mid (1-3),10,59,Yes,Rarely,1,,,Synthetic
,Naukri,Fresher (0-1),2,19,Yes,Often,3,,,Synthetic
,Naukri,Fresher (0-1),6,49,No,Often,5,,,Synthetic
,Indeed,Mid (1-3),5,12,Yes,Rarely,2,,,Synthetic
,LinkedIn,Fresher (0-1),11,61,No,Rarely,4,,,Synthetic
,LinkedIn,Fresher (0-1),1,19,Yes,Sometimes,2,,,Synthetic
,Naukri,Mid (1-3),5,76,No,Sometimes,5,,,Synthetic
,Other,Mid (1-3),1,9,No,Never,1,,,Synthetic
,Indeed,Mid (1-3),1,71,No,Rarely,1,,,Synthetic
,Naukri,Fresher (0-1),1,28,Yes,Sometimes,5,,,Synthetic
,Naukri,Mid (1-3),13,78,No,Sometimes,1,,,Synthetic
,Naukri,Fresher (0-1),14,52,No,Never,1,,,Synthetic
,Naukri,Fresher (0-1),10,16,No,Rarely,1,,,Synthetic
,LinkedIn,Mid (1-3),2,69,No,Rarely,4,,,Synthetic
,LinkedIn,Mid (1-3),12,12,No,Sometimes,4,,,Synthetic
,Naukri,Experienced (3+),1,25,Yes,Never,3,,,Synthetic
,LinkedIn,Mid (1-3),3,52,No,Never,2,,,Synthetic
,Naukri,Mid (1-3),8,53,No,Often,5,,,Synthetic
,Naukri,Fresher (0-1),5,23,No,Rarely,5,,,Synthetic
,Naukri,Fresher (0-1),0,16,No,Sometimes,5,,,Synthetic
,LinkedIn,Fresher (0-1),7,57,No,Rarely,3,,,Synthetic
,Indeed,Fresher (0-1),14,39,No,Never,4,,,Synthetic
,Naukri,Experienced (3+),11,53,Yes,Rarely,3,,,Synthetic
,LinkedIn,Fresher (0-1),13,42,No,Sometimes,5,,,Synthetic
,LinkedIn,Experienced (3+),6,58,No,Often,2,,,Synthetic
,Naukri,Mid (1-3),9,39,No,Often,1,,,Synthetic
,LinkedIn,Mid (1-3),2,14,Yes,Rarely,4,,,Synthetic
,Naukri,Mid (1-3),0,5,Yes,Sometimes,4,,,Synthetic
,Naukri,Mid (1-3),4,35,No,Rarely,3,,,Synthetic
,Other,Mid (1-3),12,75,No,Rarely,4,,,Synthetic
,Other,Fresher (0-1),3,18,No,Often,5,,,Synthetic
,Indeed,Mid (1-3),9,76,Yes,Never,5,,,Synthetic
,Naukri,Fresher (0-1),7,9,No,Never,3,,,Synthetic
,Naukri,Fresher (0-1),0,74,No,Rarely,5,,,Synthetic
,LinkedIn,Mid (1-3),9,58,Yes,Never,2,,,Synthetic
,LinkedIn,Fresher (0-1),0,17,No,Rarely,3,,,Synthetic
,Naukri,Experienced (3+),7,7,Yes,Sometimes,2,,,Synthetic
,LinkedIn,Experienced (3+),3,46,Yes,Sometimes,1,,,Synthetic
,Naukri,Experienced (3+),7,13,No,Often,2,,,Synthetic
,Other,Fresher (0-1),4,40,No,Often,1,,,Synthetic
,Naukri,Fresher (0-1),1,42,No,Rarely,1,,,Synthetic
,LinkedIn,Experienced (3+),5,9,No,Rarely,2,,,Synthetic
,Naukri,Fresher (0-1),4,50,No,Rarely,3,,,Synthetic
,LinkedIn,Experienced (3+),1,27,No,Sometimes,5,,,Synthetic
,LinkedIn,Experienced (3+),12,66,No,Rarely,5,,,Synthetic
,Naukri,Experienced (3+),5,5,No,Sometimes,1,,,Synthetic
,Other,Fresher (0-1),10,29,No,Sometimes,1,,,Synthetic
,Indeed,Fresher (0-1),10,37,No,Sometimes,3,,,Synthetic
,Other,Experienced (3+),10,38,No,Sometimes,4,,,Synthetic
,Indeed,Fresher (0-1),2,8,No,Rarely,2,,,Synthetic
,LinkedIn,Fresher (0-1),14,65,No,Often,1,,,Synthetic
,Other,Mid (1-3),8,17,Yes,Often,5,,,Synthetic
,Naukri,Experienced (3+),6,71,No,Never,3,,,Synthetic
,Naukri,Mid (1-3),6,45,No,Often,2,,,Synthetic
,Naukri,Mid (1-3),4,4,Yes,Sometimes,3,,,Synthetic
,Naukri,Fresher (0-1),10,36,Yes,Often,2,,,Synthetic
,Naukri,Mid (1-3),5,70,No,Often,2,,,Synthetic
,Naukri,Experienced (3+),7,31,No,Sometimes,1,,,Synthetic
,Indeed,Fresher (0-1),3,19,No,Never,3,,,Synthetic
,Naukri,Mid (1-3),7,61,Yes,Rarely,3,,,Synthetic
,Naukri,Experienced (3+),3,54,No,Sometimes,5,,,Synthetic
,LinkedIn,Mid (1-3),7,39,Yes,Sometimes,5,,,Synthetic
,Naukri,Mid (1-3),8,74,Yes,Rarely,1,,,Synthetic
,Indeed,Mid (1-3),2,19,Yes,Never,1,,,Synthetic
,Naukri,Fresher (0-1),2,39,No,Often,4,,,Synthetic
,Other,Fresher (0-1),10,67,No,Often,5,,,Synthetic
,Indeed,Experienced (3+),12,45,No,Sometimes,2,,,Synthetic
,Naukri,Experienced (3+),1,13,No,Rarely,3,,,Synthetic
,Naukri,Experienced (3+),12,58,No,Rarely,1,,,Synthetic
,Indeed,Experienced (3+),9,20,No,Never,3,,,Synthetic
,LinkedIn,Mid (1-3),2,72,No,Often,3,,,Synthetic
,LinkedIn,Mid (1-3),2,61,No,Never,4,,,Synthetic
,Indeed,Mid (1-3),4,39,No,Sometimes,5,,,Synthetic
,Naukri,Mid (1-3),1,1,No,Rarely,1,,,Synthetic
,Naukri,Mid (1-3),1,3,No,Sometimes,3,,,Synthetic
